x,y,z
604.2576766746254,177.4344147312628,b
590.872776153367,176.81802470525815,b
596.0296427569465,139.5164619677903,b
560.371498338635,178.80120300503307,b
528.7086283294068,102.74036161206408,b
547.8530060841979,119.93349684553982,b
548.6827689610229,155.0509621187117,b
579.2324244064741,165.3921146194724,b
627.2648547901482,138.75868435205473,b
603.4028565097033,116.1856654428268,b
596.5022139663383,151.14448597795842,b
584.2223079169113,130.03057310479358,b
572.2888416471815,68.22138909605513,b
588.8603998605548,85.83332788235134,b
548.120283879589,72.85816566810422,b
504.1028875026854,89.91698031505899,b
506.27570000350977,122.03317818426666,b
551.1446165936867,82.39963535255504,b
579.9857863742658,113.68597919583624,b
637.5884204788041,167.07995175255604,b
700.3699723985238,175.0372110673071,b
682.38824775952,170.44552846304242,b
659.7227315842804,157.4218936164781,b
610.3914744119236,62.28961120423554,b
638.2282343571243,51.00805434907409,b
526.757866661627,42.07832427884881,b
600.949736117592,92.35799317242919,b
566.8702743026844,57.33605825982755,b
607.2635132605454,70.93898592330021,b
618.0255258355459,121.27564050216188,b
639.1442097292654,118.87486826571296,b
606.7068705595594,124.54519491321162,b
630.4027618725306,101.82706367236602,b
596.9840946624902,50.49965847973613,b
604.4768533226539,129.5532425171363,b
601.2974286272034,73.94796300310179,b
552.1570348353955,91.71130007179272,b
561.1125764909126,80.35543711712967,b
586.8352902180196,94.24246195009493,b
632.2685306867896,81.29956344852644,b
624.9911570474433,108.53261109047656,b
683.5035720752492,121.61360328142717,b
608.6938842876947,80.57847370329637,b
583.6898423078649,30.105322617066918,b
589.6738919251934,17.612811848082515,b
637.4394664438671,31.09852958542018,b
583.0763046815728,44.68869098455917,b
669.3285529348354,26.952752070542942,b
640.4712895950007,81.08227115010482,b
687.3431092858336,96.85266938168326,b
695.295663639649,126.98956920335945,b
697.9033908187653,135.75583768462633,b
720.9206422262708,120.78901548545605,b
701.5994350194909,91.47730605377689,b
649.0103367810889,113.49852518301958,b
651.4125685863063,76.8135458038197,b
565.8887520049435,85.9238674032419,b
536.0253808548101,86.06257903724884,b
601.3472156683791,125.69302394436755,b
584.861240403247,92.12414914149929,b
567.0054129136206,154.1401849223618,b
624.1622760310922,151.89082591664754,b
652.9954254098429,173.60857189427912,b
675.5313113960297,186.13779283919183,b
670.0572527891122,177.6651690513114,b
640.1539782522219,179.30764659565608,b
637.4404127300706,127.78892917322219,b
609.1404839747157,97.0545358669313,b
582.5774365938842,52.57412904426337,b
578.5426041336592,70.2571000991149,b
586.6428256567267,40.83190390426,b
600.4229833163316,53.62365346897474,b
599.3680700236163,71.55122591762267,b
626.0264769466665,38.78058744181749,b
633.9396404577235,130.47217739851078,b
672.2776948738831,162.57677789577656,b
655.3497245447294,199.3164265649849,b
642.8795317305139,237.31063044204632,b
689.0542897139172,212.67770222927396,b
649.4169109013973,258.00983591960426,b
657.4004983798209,209.11687705188837,b
636.3393173376139,152.2010873297279,b
591.5214028980197,131.38360941555732,b
569.6338113485544,89.05059468192098,b
529.4323901572557,32.05924170334504,b
602.6293009149786,91.82250349260369,b
579.5257399638965,89.20257650441721,b
590.3764336713793,52.67302272561045,b
603.9594916225753,84.3680143383989,b
610.7132130146463,163.4192376013948,b
610.079776600573,128.95712317154994,b
652.8537248339663,147.96893918594083,b
658.1066385020304,149.28310508128902,b
622.4334026951998,203.58739448143996,b
594.5126152115807,210.1255609850956,b
579.2064378931252,167.40535078165072,b
592.3874458613682,157.89260045221027,b
543.9070181373779,95.84359956668698,b
646.5104432456445,142.7221033591734,b
613.7745863246199,151.15887953935265,b
626.6674510921542,174.0515934246842,b
597.9551050293892,203.85694570621786,b
640.6053937465372,166.4532691563162,b
573.8263501883389,177.8402156560481,b
572.8470036445267,143.41879780791362,b
495.51377716140445,94.19312587744787,b
540.8032854820068,60.589498157708476,b
516.5737591037422,62.850213112591234,b
556.1899306275346,38.31933956380192,b
555.8545220283706,53.79339180469265,b
595.2248218378495,68.40513920835104,b
646.8091765619456,47.84953271947933,b
688.9012882100308,38.94684881103757,b
700.2110651896149,94.45565833689517,b
693.0272215979273,205.21120057160243,b
702.3970156057466,210.16898226845677,b
641.8987171698993,235.87618607362458,b
600.0265341379685,207.53392900225396,b
592.0921999251797,136.31117938448847,b
606.4986854465818,155.3110789898521,b
543.4417387075215,104.35444741485213,b
536.0022679863032,80.5461074919337,b
517.8010701968069,55.17979090426837,b
619.380830459171,90.26783270059536,b
588.5349867575245,57.10457174081154,b
537.6081127310098,22.23295057141337,b
614.3987882592653,71.69665792142183,b
649.1659436810112,35.765015594601095,b
603.3144849777726,101.63406097417555,b
623.3672514164244,84.14328372819415,b
668.2928793791331,132.68778669230238,b
619.4808046991773,150.68800890448188,b
626.157245765682,146.1163532569521,b
644.3511498334204,206.9673192038561,b
595.4671620867659,170.62159411334721,b
584.8040109179865,182.54824732255315,b
536.2192625656296,94.11747797506581,b
590.0747499282227,119.25747813261398,b
567.0932991728578,32.13503458106902,b
619.1031828629492,73.65220538425808,b
652.7018662166731,80.4645754446916,b
643.9344417662722,130.6323762037141,b
654.8727726319232,103.12786055750718,b
642.2303181222161,126.14782402950897,b
689.4016444832712,179.59519483436492,b
669.3099818341963,154.00560661732965,b
673.1798013175579,193.17752364835758,b
686.4447847844748,121.9282104214343,b
607.178105421632,159.3985284306694,b
608.479835977674,123.72498048295347,b
589.3493316496132,64.41601795509996,b
570.1754445239453,2.568254951175902,b
619.8624113014578,5.763415392648824,b
634.3688551408043,-28.68064814864306,b
689.4016802309502,24.178906885514323,b
348.85653463952264,274.06634335861844,c
307.5998511828976,242.25844275752638,c
344.3480826837366,190.6785752255392,c
262.44532636143754,215.17297184110203,c
205.04709318405023,219.55512481298456,c
170.05041334792574,137.55913771447143,c
177.57077009469836,93.90714721347081,c
130.5260122781598,118.37346514827044,c
139.73853185812902,113.31986109797629,c
151.59647015869203,80.7498708705956,c
177.5262557749779,104.1372145693922,c
280.1399214184141,75.35040157183181,c
274.28778082657294,155.91036352928643,c
277.17986368356225,171.24338785190463,c
303.8536412063064,213.21395317914187,c
346.25376590411685,225.02085201038176,c
352.2815770272556,271.5191493825889,c
346.7674242237216,256.8590200056615,c
382.099048669401,269.5152348024551,c
318.58135215426336,226.61630169919317,c
211.9573279202254,188.12569406152681,c
156.8682984979368,177.00130525820106,c
177.336391992934,145.22483965085053,c
121.32337365408446,164.00211406361905,c
136.75303420527925,182.92693054353418,c
180.38445395025116,158.98672477057175,c
183.6990269906658,155.3215573751491,c
245.27271279346468,195.301649244141,c
244.70845743037484,132.23692352725806,c
276.8679402433312,163.41797230680356,c
266.37559612019624,180.9202892260219,c
260.2612904271994,140.84310975430782,c
289.80504023129384,203.06652866657407,c
274.89388515009745,203.6980729134866,c
246.64371771152804,197.10067631474487,c
127.25339350355776,167.85250027402805,c
170.94994414632328,189.54253809711798,c
174.43217859184585,131.03986447729278,c
197.57420124562216,158.2228481940656,c
141.40182187914277,117.34715009035529,c
199.2633206307083,157.07633025758832,c
230.32205259268625,166.2984901885934,c
271.96331407029624,195.05641158316303,c
284.0679246917781,219.8487596668511,c
295.422274505383,194.61257504071546,c
329.8242790608381,213.74157292833144,c
324.46425861097174,233.85931663825318,c
269.53766184727846,233.55428895891163,c
287.4196510533429,139.456777512994,c
244.6332921269321,159.25521225540655,c
186.8473976678095,143.76453283651153,c
241.98430703908974,114.54589854363513,c
251.530269013587,156.9718721317634,c
274.8841607332616,162.5178069630599,c
322.099470835405,192.36407967208004,c
239.74571815488844,155.350518637319,d
217.2135183457077,180.6747344823496,d
207.2476880982333,187.5476314146286,d
231.5232935551462,211.5047042124425,d
240.24742479006906,183.78281436971577,d
268.5641031551637,211.60385712931924,d
194.73557866624094,259.2691402243458,d
224.48774415478726,143.50836682693563,d
249.55264500508824,140.2901284384419,d
231.92358470051926,181.41353652479376,d
251.1259046319164,141.08260761307122,d
252.39158537835564,177.0426734515558,d
275.59481728717003,123.56932201407517,d
286.3910650379917,131.84815997664992,d
496.4294034470575,129.14088751500378,d
488.9589034130164,153.03673536272595,d
482.2239229460659,114.49115865358834,d
549.3597519458433,118.41156516114927,d
578.4449609405108,131.0732316310245,d
562.3822567970719,111.58157644390513,d
594.017277938458,161.59065475964604,d
641.0880739430198,214.92993385473767,d
624.8572537514666,157.39586278175454,d
655.6769807934428,258.05374215148345,d
639.8717282169897,207.2073885098024,d
679.114230172193,296.16673545175036,d
668.4208116695818,448.59312374241847,d
667.5931171840817,484.1335550174522,d
656.2573379381788,508.1734362667463,d
692.9800821217211,478.6418025939057,d
711.8354116734081,444.85561979472925,d
661.6035574577883,474.84550973424086,d
650.7864494586365,428.5158595050332,d
676.0400101327714,489.0049271556718,d
648.6368497273814,440.9218011917664,d
686.8793078206894,484.61140500687327,d
676.5589198333545,469.8493328760129,d
697.7015896887702,414.05929588046297,d
668.2441862025968,513.3088642517878,d
719.4698054389119,507.5574721848608,d
674.4035018413217,511.22555071183297,d
446.82758982858996,364.9533268872159,d
478.48491661082005,447.8581911894779,d
455.0895317387481,404.2529111502774,d
431.6782878009734,430.34443217206774,d
447.40554208872686,458.6604924230793,d
465.55983709509445,513.1310987873615,d
428.9470390491114,470.6117390732417,d
433.3696323783546,513.4287420110115,d
70.96817260234354,392.9461694469215,d
94.43091033497308,423.12343121250626,d
88.50880785072104,431.364575955039,d
78.98802200701596,490.8396189848069,d
35.15951138304707,432.44401820931336,d
84.30881493773313,207.09221854661575,d
95.6089634212585,218.00570914104247,d
69.58481186469331,275.6496987101897,d
44.496366185172086,275.1522600792167,d
72.64145790891192,284.8330432349194,d
26.116445449526218,223.24358465004423,d
61.34204791425537,39.8770003447338,d
45.758767942727474,72.60159579081142,d
80.45477248729986,84.47669033111339,d
93.85805298889946,114.9605665053599,d
178.19143621278033,142.01937208425983,d
446.67478925709275,16.866819699857388,d
406.2643451637077,63.35733031511114,d
441.57539009972106,30.14932516440058,d
395.5128476862528,23.785113864734058,d
408.2747887622779,37.97812067715961,d
